,Motor Vehicle Sales: Annual: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,CEIC Data
Status,Active
Series ID,380490027
SR Code,SR196965917
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/2005
Last Obs. Date,12/30/2019
Last Update Time,13/03/2020
Series remarks,The International Organization of Motor Vehicle Manufacturers provides annual Motor Vehicles Sales.
Suggestions,
Mean,204.77905491698613
Variance,23023.838108639775
Standard Deviation,151.7360804444341
Skewness,1.7778127332220466
Kurtosis,3.198694251051666
Coefficient Variation,0.7409746104451223
Min,57.69230769230769
Max,671.1538461538462
Median,179.24528301886792
Sum,
Subtract,
12/02/2013,230.769230769231
12/09/2013,230.769230769231
12/16/2013,230.769230769231
12/23/2013,230.769230769231
12/30/2013,230.769230769231
01/06/2014,298.076923076923
01/13/2014,298.076923076923
01/20/2014,298.076923076923
01/27/2014,298.076923076923
02/03/2014,298.076923076923
02/10/2014,298.076923076923
02/17/2014,298.076923076923
02/24/2014,298.076923076923
03/03/2014,298.076923076923
03/10/2014,298.076923076923
03/17/2014,298.076923076923
03/24/2014,298.076923076923
03/31/2014,298.076923076923
04/07/2014,298.076923076923
04/14/2014,298.076923076923
04/21/2014,298.076923076923
04/28/2014,298.076923076923
05/05/2014,298.076923076923
05/12/2014,298.076923076923
05/19/2014,298.076923076923
05/26/2014,298.076923076923
06/02/2014,298.076923076923
06/09/2014,298.076923076923
06/16/2014,298.076923076923
06/23/2014,298.076923076923
06/30/2014,298.076923076923
07/07/2014,298.076923076923
07/14/2014,298.076923076923
07/21/2014,298.076923076923
07/28/2014,298.076923076923
08/04/2014,298.076923076923
08/11/2014,298.076923076923
08/18/2014,298.076923076923
08/25/2014,298.076923076923
09/01/2014,298.076923076923
09/08/2014,298.076923076923
09/15/2014,298.076923076923
09/22/2014,298.076923076923
09/29/2014,298.076923076923
10/06/2014,298.076923076923
10/13/2014,298.076923076923
10/20/2014,298.076923076923
10/27/2014,298.076923076923
11/03/2014,298.076923076923
11/10/2014,298.076923076923
11/17/2014,298.076923076923
11/24/2014,298.076923076923
12/01/2014,298.076923076923
12/08/2014,298.076923076923
12/15/2014,298.076923076923
12/22/2014,298.076923076923
12/29/2014,298.076923076923
01/05/2015,326.923076923077
01/12/2015,326.923076923077
01/19/2015,326.923076923077
01/26/2015,326.923076923077
02/02/2015,326.923076923077
02/09/2015,326.923076923077
02/16/2015,326.923076923077
02/23/2015,326.923076923077
03/02/2015,326.923076923077
03/09/2015,326.923076923077
03/16/2015,326.923076923077
03/23/2015,326.923076923077
03/30/2015,326.923076923077
04/06/2015,326.923076923077
04/13/2015,326.923076923077
04/20/2015,326.923076923077
04/27/2015,326.923076923077
05/04/2015,326.923076923077
05/11/2015,326.923076923077
05/18/2015,326.923076923077
05/25/2015,326.923076923077
06/01/2015,326.923076923077
06/08/2015,326.923076923077
06/15/2015,326.923076923077
06/22/2015,326.923076923077
06/29/2015,326.923076923077
07/06/2015,326.923076923077
07/13/2015,326.923076923077
07/20/2015,326.923076923077
07/27/2015,326.923076923077
08/03/2015,326.923076923077
08/10/2015,326.923076923077
08/17/2015,326.923076923077
08/24/2015,326.923076923077
08/31/2015,326.923076923077
09/07/2015,326.923076923077
09/14/2015,326.923076923077
09/21/2015,326.923076923077
09/28/2015,326.923076923077
10/05/2015,326.923076923077
10/12/2015,326.923076923077
10/19/2015,326.923076923077
10/26/2015,326.923076923077
11/02/2015,326.923076923077
11/09/2015,326.923076923077
11/16/2015,326.923076923077
11/23/2015,326.923076923077
11/30/2015,326.923076923077
12/07/2015,326.923076923077
12/14/2015,326.923076923077
12/21/2015,326.923076923077
12/28/2015,326.923076923077
01/04/2016,671.153846153846
01/11/2016,671.153846153846
01/18/2016,671.153846153846
01/25/2016,671.153846153846
02/01/2016,671.153846153846
02/08/2016,671.153846153846
02/15/2016,671.153846153846
02/22/2016,671.153846153846
02/29/2016,671.153846153846
03/07/2016,671.153846153846
03/14/2016,671.153846153846
03/21/2016,671.153846153846
03/28/2016,671.153846153846
04/04/2016,671.153846153846
04/11/2016,671.153846153846
04/18/2016,671.153846153846
04/25/2016,671.153846153846
05/02/2016,671.153846153846
05/09/2016,671.153846153846
05/16/2016,671.153846153846
05/23/2016,671.153846153846
05/30/2016,671.153846153846
06/06/2016,671.153846153846
06/13/2016,671.153846153846
06/20/2016,671.153846153846
06/27/2016,671.153846153846
07/04/2016,671.153846153846
07/11/2016,671.153846153846
07/18/2016,671.153846153846
07/25/2016,671.153846153846
08/01/2016,671.153846153846
08/08/2016,671.153846153846
08/15/2016,671.153846153846
08/22/2016,671.153846153846
08/29/2016,671.153846153846
09/05/2016,671.153846153846
09/12/2016,671.153846153846
09/19/2016,671.153846153846
09/26/2016,671.153846153846
10/03/2016,671.153846153846
10/10/2016,671.153846153846
10/17/2016,671.153846153846
10/24/2016,671.153846153846
10/31/2016,671.153846153846
11/07/2016,671.153846153846
11/14/2016,671.153846153846
11/21/2016,671.153846153846
11/28/2016,671.153846153846
12/05/2016,671.153846153846
12/12/2016,671.153846153846
12/19/2016,671.153846153846
12/26/2016,671.153846153846
01/02/2017,290.692307692308
01/09/2017,290.692307692308
01/16/2017,290.692307692308
01/23/2017,290.692307692308
01/30/2017,290.692307692308
02/06/2017,290.692307692308
02/13/2017,290.692307692308
02/20/2017,290.692307692308
02/27/2017,290.692307692308
03/06/2017,290.692307692308
03/13/2017,290.692307692308
03/20/2017,290.692307692308
03/27/2017,290.692307692308
04/03/2017,290.692307692308
04/10/2017,290.692307692308
04/17/2017,290.692307692308
04/24/2017,290.692307692308
05/01/2017,290.692307692308
05/08/2017,290.692307692308
05/15/2017,290.692307692308
05/22/2017,290.692307692308
05/29/2017,290.692307692308
06/05/2017,290.692307692308
06/12/2017,290.692307692308
06/19/2017,290.692307692308
06/26/2017,290.692307692308
07/03/2017,290.692307692308
07/10/2017,290.692307692308
07/17/2017,290.692307692308
07/24/2017,290.692307692308
07/31/2017,290.692307692308
08/07/2017,290.692307692308
08/14/2017,290.692307692308
08/21/2017,290.692307692308
08/28/2017,290.692307692308
09/04/2017,290.692307692308
09/11/2017,290.692307692308
09/18/2017,290.692307692308
09/25/2017,290.692307692308
10/02/2017,290.692307692308
10/09/2017,290.692307692308
10/16/2017,290.692307692308
10/23/2017,290.692307692308
10/30/2017,290.692307692308
11/06/2017,290.692307692308
11/13/2017,290.692307692308
11/20/2017,290.692307692308
11/27/2017,290.692307692308
