,Total Greenhouse Gas Emissions: Tonnes of CO2 Equivalent per Year: Transport
8/21/1989,0.048105953
8/28/1989,0.048105953
9/4/1989,0.048105953
9/11/1989,0.048105953
9/18/1989,0.048105953
9/25/1989,0.048105953
10/2/1989,0.048105953
10/9/1989,0.048105953
10/16/1989,0.048105953
10/23/1989,0.048105953
10/30/1989,0.048105953
11/6/1989,0.048105953
11/13/1989,0.048105953
11/20/1989,0.048105953
11/27/1989,0.048105953
12/4/1989,0.048105953
12/11/1989,0.048105953
12/18/1989,0.048105953
12/25/1989,0.048105953
1/1/1990,0.049003306
1/8/1990,0.049003306
1/15/1990,0.049003306
1/22/1990,0.049003306
1/29/1990,0.049003306
2/5/1990,0.049003306
2/12/1990,0.049003306
2/19/1990,0.049003306
2/26/1990,0.049003306
3/5/1990,0.049003306
3/12/1990,0.049003306
3/19/1990,0.049003306
3/26/1990,0.049003306
4/2/1990,0.049003306
4/9/1990,0.049003306
4/16/1990,0.049003306
4/23/1990,0.049003306
4/30/1990,0.049003306
5/7/1990,0.049003306
5/14/1990,0.049003306
5/21/1990,0.049003306
5/28/1990,0.049003306
6/4/1990,0.049003306
6/11/1990,0.049003306
6/18/1990,0.049003306
6/25/1990,0.049003306
7/2/1990,0.049003306
7/9/1990,0.049003306
7/16/1990,0.049003306
7/23/1990,0.049003306
7/30/1990,0.049003306
8/6/1990,0.049003306
8/13/1990,0.049003306
8/20/1990,0.049003306
8/27/1990,0.049003306
9/3/1990,0.049003306
9/10/1990,0.049003306
9/17/1990,0.049003306
9/24/1990,0.049003306
10/1/1990,0.049003306
10/8/1990,0.049003306
10/15/1990,0.049003306
10/22/1990,0.049003306
10/29/1990,0.049003306
11/5/1990,0.049003306
11/12/1990,0.049003306
11/19/1990,0.049003306
11/26/1990,0.049003306
12/3/1990,0.049003306
12/10/1990,0.049003306
12/17/1990,0.049003306
12/24/1990,0.049003306
12/31/1990,0.049003306
1/7/1991,0.050227038
1/14/1991,0.050227038
1/21/1991,0.050227038
1/28/1991,0.050227038
2/4/1991,0.050227038
2/11/1991,0.050227038
2/18/1991,0.050227038
2/25/1991,0.050227038
3/4/1991,0.050227038
3/11/1991,0.050227038
3/18/1991,0.050227038
3/25/1991,0.050227038
4/1/1991,0.050227038
4/8/1991,0.050227038
4/15/1991,0.050227038
4/22/1991,0.050227038
4/29/1991,0.050227038
5/6/1991,0.050227038
5/13/1991,0.050227038
5/20/1991,0.050227038
5/27/1991,0.050227038
6/3/1991,0.050227038
6/10/1991,0.050227038
6/17/1991,0.050227038
6/24/1991,0.050227038
7/1/1991,0.050227038
7/8/1991,0.050227038
7/15/1991,0.050227038
7/22/1991,0.050227038
7/29/1991,0.050227038
8/5/1991,0.050227038
8/12/1991,0.050227038
8/19/1991,0.050227038
8/26/1991,0.050227038
9/2/1991,0.050227038
9/9/1991,0.050227038
9/16/1991,0.050227038
9/23/1991,0.050227038
9/30/1991,0.050227038
10/7/1991,0.050227038
10/14/1991,0.050227038
10/21/1991,0.050227038
10/28/1991,0.050227038
11/4/1991,0.050227038
11/11/1991,0.050227038
11/18/1991,0.050227038
11/25/1991,0.050227038
12/2/1991,0.050227038
12/9/1991,0.050227038
12/16/1991,0.050227038
12/23/1991,0.050227038
12/30/1991,0.050227038
1/6/1992,0.055895094
1/13/1992,0.055895094
1/20/1992,0.055895094
1/27/1992,0.055895094
2/3/1992,0.055895094
2/10/1992,0.055895094
2/17/1992,0.055895094
2/24/1992,0.055895094
3/2/1992,0.055895094
3/9/1992,0.055895094
3/16/1992,0.055895094
3/23/1992,0.055895094
3/30/1992,0.055895094
4/6/1992,0.055895094
4/13/1992,0.055895094
4/20/1992,0.055895094
4/27/1992,0.055895094
5/4/1992,0.055895094
5/11/1992,0.055895094
5/18/1992,0.055895094
5/25/1992,0.055895094
6/1/1992,0.055895094
6/8/1992,0.055895094
6/15/1992,0.055895094
6/22/1992,0.055895094
6/29/1992,0.055895094
7/6/1992,0.055895094
7/13/1992,0.055895094
7/20/1992,0.055895094
7/27/1992,0.055895094
8/3/1992,0.055895094
8/10/1992,0.055895094
8/17/1992,0.055895094
8/24/1992,0.055895094
8/31/1992,0.055895094
9/7/1992,0.055895094
9/14/1992,0.055895094
9/21/1992,0.055895094
9/28/1992,0.055895094
10/5/1992,0.055895094
10/12/1992,0.055895094
10/19/1992,0.055895094
