,PPI: Manufacturing: Coke & Refined Petroleum Products
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,4Q2018=100
Source,Department of Census and Statistics
Status,Active
Series ID,474725307 (LIXGVAAAAAAAFF)
SR Code,SR158229157
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,11/25/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,30.18248256959578
Variance,424.6357798628233
Standard Deviation,20.606692598833597
Skewness,1.4393294533994974
Kurtosis,1.0662694434707296
Coefficient Variation,0.682736834232174
Min,8.747617631999999
Max,100.8
Median,23.133102175
Sum,
Subtract,
07/16/2018,20.316078488
07/23/2018,20.316078488
07/30/2018,20.316078488
08/06/2018,24.3175774225
08/13/2018,24.3175774225
08/20/2018,24.3175774225
08/27/2018,24.3175774225
09/03/2018,24.008957605
09/10/2018,24.008957605
09/17/2018,24.008957605
09/24/2018,24.008957605
10/01/2018,20.465355358
10/08/2018,20.465355358
10/15/2018,20.465355358
10/22/2018,20.465355358
10/29/2018,20.465355358
11/05/2018,25.376586615
11/12/2018,25.376586615
11/19/2018,25.376586615
11/26/2018,25.376586615
12/03/2018,19.52071035
12/10/2018,19.52071035
12/17/2018,19.52071035
12/24/2018,19.52071035
12/31/2018,19.52071035
01/07/2019,21.2111775225
01/14/2019,21.2111775225
01/21/2019,21.2111775225
01/28/2019,21.2111775225
02/04/2019,21.5562183125
02/11/2019,21.5562183125
02/18/2019,21.5562183125
02/25/2019,21.5562183125
03/04/2019,22.4396349
03/11/2019,22.4396349
03/18/2019,22.4396349
03/25/2019,22.4396349
04/01/2019,18.2077707
04/08/2019,18.2077707
04/15/2019,18.2077707
04/22/2019,18.2077707
04/29/2019,18.2077707
05/06/2019,25.249923905
05/13/2019,25.249923905
05/20/2019,25.249923905
05/27/2019,25.249923905
06/03/2019,23.133102175
06/10/2019,23.133102175
06/17/2019,23.133102175
06/24/2019,23.133102175
07/01/2019,17.04350879
07/08/2019,17.04350879
07/15/2019,17.04350879
07/22/2019,17.04350879
07/29/2019,17.04350879
08/05/2019,22.0500574725
08/12/2019,22.0500574725
08/19/2019,22.0500574725
08/26/2019,22.0500574725
09/02/2019,17.192259708
09/09/2019,17.192259708
09/16/2019,17.192259708
09/23/2019,17.192259708
09/30/2019,17.192259708
10/07/2019,22.893490515
10/14/2019,22.893490515
10/21/2019,22.893490515
10/28/2019,22.893490515
11/04/2019,23.2328316
11/11/2019,23.2328316
11/18/2019,23.2328316
11/25/2019,23.2328316
12/02/2019,18.726365754
12/09/2019,18.726365754
12/16/2019,18.726365754
12/23/2019,18.726365754
12/30/2019,18.726365754
01/06/2020,22.539393945
01/13/2020,22.539393945
01/20/2020,22.539393945
01/27/2020,22.539393945
02/03/2020,22.539393945
02/10/2020,22.539393945
02/17/2020,22.539393945
02/24/2020,22.539393945
03/02/2020,18.741532428
03/09/2020,18.741532428
03/16/2020,18.741532428
03/23/2020,18.741532428
03/30/2020,18.741532428
04/06/2020,18.7650310825
04/13/2020,18.7650310825
04/20/2020,18.7650310825
04/27/2020,18.7650310825
05/04/2020,14.98683443
05/11/2020,14.98683443
05/18/2020,14.98683443
05/25/2020,14.98683443
06/01/2020,8.747617632
06/08/2020,8.747617632
06/15/2020,8.747617632
06/22/2020,8.747617632
