,GDP: Goods & Services: Imports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495106047 (LAZAAABBAAABCQ)
SR Code,SR173549797
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Goods &amp; Services: Imports {375580007} [SPLICE(GDP: Goods &amp; Services: Imports {495106047}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,73549.58534077567
Variance,676548323.6174045
Standard Deviation,26010.542547540303
Skewness,0.6242244815369514
Kurtosis,-0.4801351062655477
Coefficient Variation,0.35364635200900496
Min,31635.44236825756
Max,128081.42179788715
Median,70048.32157048384
Sum,
Subtract,
12/04/2017,80379.3039814354
12/11/2017,80379.3039814354
12/18/2017,80379.3039814354
12/25/2017,80379.3039814354
01/01/2018,85204.1645210961
01/08/2018,85204.1645210961
01/15/2018,85204.1645210961
01/22/2018,85204.1645210961
01/29/2018,85204.1645210961
02/05/2018,85204.1645210961
02/12/2018,85204.1645210961
02/19/2018,85204.1645210961
02/26/2018,85204.1645210961
03/05/2018,85204.1645210961
03/12/2018,85204.1645210961
03/19/2018,85204.1645210961
03/26/2018,85204.1645210961
04/02/2018,80536.9670119823
04/09/2018,80536.9670119823
04/16/2018,80536.9670119823
04/23/2018,80536.9670119823
04/30/2018,80536.9670119823
05/07/2018,80536.9670119823
05/14/2018,80536.9670119823
05/21/2018,80536.9670119823
05/28/2018,80536.9670119823
06/04/2018,80536.9670119823
06/11/2018,80536.9670119823
06/18/2018,80536.9670119823
06/25/2018,80536.9670119823
07/02/2018,81378.49621304
07/09/2018,81378.49621304
07/16/2018,81378.49621304
07/23/2018,81378.49621304
07/30/2018,81378.49621304
08/06/2018,81378.49621304
08/13/2018,81378.49621304
08/20/2018,81378.49621304
08/27/2018,81378.49621304
09/03/2018,81378.49621304
09/10/2018,81378.49621304
09/17/2018,81378.49621304
09/24/2018,81378.49621304
10/01/2018,81552.6049072636
10/08/2018,81552.6049072636
10/15/2018,81552.6049072636
10/22/2018,81552.6049072636
10/29/2018,81552.6049072636
11/05/2018,81552.6049072636
11/12/2018,81552.6049072636
11/19/2018,81552.6049072636
11/26/2018,81552.6049072636
12/03/2018,81552.6049072636
12/10/2018,81552.6049072636
12/17/2018,81552.6049072636
12/24/2018,81552.6049072636
12/31/2018,81552.6049072636
01/07/2019,90386.38969867
01/14/2019,90386.38969867
01/21/2019,90386.38969867
01/28/2019,90386.38969867
02/04/2019,90386.38969867
02/11/2019,90386.38969867
02/18/2019,90386.38969867
02/25/2019,90386.38969867
03/04/2019,90386.38969867
03/11/2019,90386.38969867
03/18/2019,90386.38969867
03/25/2019,90386.38969867
04/01/2019,80241.8293232208
04/08/2019,80241.8293232208
04/15/2019,80241.8293232208
04/22/2019,80241.8293232208
04/29/2019,80241.8293232208
05/06/2019,80241.8293232208
05/13/2019,80241.8293232208
05/20/2019,80241.8293232208
05/27/2019,80241.8293232208
06/03/2019,80241.8293232208
06/10/2019,80241.8293232208
06/17/2019,80241.8293232208
06/24/2019,80241.8293232208
07/01/2019,77949.1339096714
07/08/2019,77949.1339096714
07/15/2019,77949.1339096714
07/22/2019,77949.1339096714
07/29/2019,77949.1339096714
08/05/2019,77949.1339096714
08/12/2019,77949.1339096714
08/19/2019,77949.1339096714
08/26/2019,77949.1339096714
09/02/2019,77949.1339096714
09/09/2019,77949.1339096714
09/16/2019,77949.1339096714
09/23/2019,77949.1339096714
09/30/2019,77949.1339096714
10/07/2019,90206.0031060761
10/14/2019,90206.0031060761
10/21/2019,90206.0031060761
