,Adjusted Savings: Carbon Dioxide Damage
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD mn
Source,World Bank
Status,Active
Series ID,268441702
SR Code,SR5444103
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,19/12/2023
Series remarks,"Cost of damage due to carbon dioxide emissions from fossil fuel use and the manufacture of cement, estimated to be US$40 per ton of CO2 (the unit damage in 2017 US dollars for CO2 emitted in 2020) times the number of tons of CO2 emitted.;World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.;;"
Suggestions,
Mean,7.512237900125779
Variance,34.175314854342695
Standard Deviation,5.845965690486277
Skewness,0.8770491442692123
Kurtosis,-0.40411583817369534
Coefficient Variation,0.7781923001118477
Min,0.8779543418867924
Max,21.227391911153845
Median,6.255040609615384
Sum,
Subtract,
08/17/1998,2.83453616153846
08/24/1998,2.83453616153846
08/31/1998,2.83453616153846
09/07/1998,2.83453616153846
09/14/1998,2.83453616153846
09/21/1998,2.83453616153846
09/28/1998,2.83453616153846
10/05/1998,2.83453616153846
10/12/1998,2.83453616153846
10/19/1998,2.83453616153846
10/26/1998,2.83453616153846
11/02/1998,2.83453616153846
11/09/1998,2.83453616153846
11/16/1998,2.83453616153846
11/23/1998,2.83453616153846
11/30/1998,2.83453616153846
12/07/1998,2.83453616153846
12/14/1998,2.83453616153846
12/21/1998,2.83453616153846
12/28/1998,2.83453616153846
01/04/1999,3.24297252538462
01/11/1999,3.24297252538462
01/18/1999,3.24297252538462
01/25/1999,3.24297252538462
02/01/1999,3.24297252538462
02/08/1999,3.24297252538462
02/15/1999,3.24297252538462
02/22/1999,3.24297252538462
03/01/1999,3.24297252538462
03/08/1999,3.24297252538462
03/15/1999,3.24297252538462
03/22/1999,3.24297252538462
03/29/1999,3.24297252538462
04/05/1999,3.24297252538462
04/12/1999,3.24297252538462
04/19/1999,3.24297252538462
04/26/1999,3.24297252538462
05/03/1999,3.24297252538462
05/10/1999,3.24297252538462
05/17/1999,3.24297252538462
05/24/1999,3.24297252538462
05/31/1999,3.24297252538462
06/07/1999,3.24297252538462
06/14/1999,3.24297252538462
06/21/1999,3.24297252538462
06/28/1999,3.24297252538462
07/05/1999,3.24297252538462
07/12/1999,3.24297252538462
07/19/1999,3.24297252538462
07/26/1999,3.24297252538462
08/02/1999,3.24297252538462
08/09/1999,3.24297252538462
08/16/1999,3.24297252538462
08/23/1999,3.24297252538462
08/30/1999,3.24297252538462
09/06/1999,3.24297252538462
09/13/1999,3.24297252538462
09/20/1999,3.24297252538462
09/27/1999,3.24297252538462
10/04/1999,3.24297252538462
10/11/1999,3.24297252538462
10/18/1999,3.24297252538462
10/25/1999,3.24297252538462
11/01/1999,3.24297252538462
11/08/1999,3.24297252538462
11/15/1999,3.24297252538462
11/22/1999,3.24297252538462
11/29/1999,3.24297252538462
12/06/1999,3.24297252538462
12/13/1999,3.24297252538462
12/20/1999,3.24297252538462
12/27/1999,3.24297252538462
01/03/2000,3.90150790480769
01/10/2000,3.90150790480769
01/17/2000,3.90150790480769
01/24/2000,3.90150790480769
01/31/2000,3.90150790480769
02/07/2000,3.90150790480769
02/14/2000,3.90150790480769
02/21/2000,3.90150790480769
02/28/2000,3.90150790480769
03/06/2000,3.90150790480769
03/13/2000,3.90150790480769
03/20/2000,3.90150790480769
03/27/2000,3.90150790480769
04/03/2000,3.90150790480769
04/10/2000,3.90150790480769
04/17/2000,3.90150790480769
04/24/2000,3.90150790480769
05/01/2000,3.90150790480769
05/08/2000,3.90150790480769
05/15/2000,3.90150790480769
05/22/2000,3.90150790480769
05/29/2000,3.90150790480769
06/05/2000,3.90150790480769
06/12/2000,3.90150790480769
06/19/2000,3.90150790480769
06/26/2000,3.90150790480769
07/03/2000,3.90150790480769
07/10/2000,3.90150790480769
07/17/2000,3.90150790480769
07/24/2000,3.90150790480769
07/31/2000,3.90150790480769
08/07/2000,3.90150790480769
08/14/2000,3.90150790480769
08/21/2000,3.90150790480769
08/28/2000,3.90150790480769
09/04/2000,3.90150790480769
09/11/2000,3.90150790480769
09/18/2000,3.90150790480769
09/25/2000,3.90150790480769
10/02/2000,3.90150790480769
10/09/2000,3.90150790480769
10/16/2000,3.90150790480769
10/23/2000,3.90150790480769
10/30/2000,3.90150790480769
11/06/2000,3.90150790480769
11/13/2000,3.90150790480769
11/20/2000,3.90150790480769
11/27/2000,3.90150790480769
12/04/2000,3.90150790480769
12/11/2000,3.90150790480769
12/18/2000,3.90150790480769
12/25/2000,3.90150790480769
01/01/2001,3.97290988566038
01/08/2001,3.97290988566038
01/15/2001,3.97290988566038
01/22/2001,3.97290988566038
01/29/2001,3.97290988566038
02/05/2001,3.97290988566038
02/12/2001,3.97290988566038
02/19/2001,3.97290988566038
02/26/2001,3.97290988566038
03/05/2001,3.97290988566038
03/12/2001,3.97290988566038
03/19/2001,3.97290988566038
03/26/2001,3.97290988566038
04/02/2001,3.97290988566038
04/09/2001,3.97290988566038
04/16/2001,3.97290988566038
04/23/2001,3.97290988566038
04/30/2001,3.97290988566038
05/07/2001,3.97290988566038
05/14/2001,3.97290988566038
05/21/2001,3.97290988566038
05/28/2001,3.97290988566038
06/04/2001,3.97290988566038
06/11/2001,3.97290988566038
06/18/2001,3.97290988566038
06/25/2001,3.97290988566038
07/02/2001,3.97290988566038
07/09/2001,3.97290988566038
07/16/2001,3.97290988566038
07/23/2001,3.97290988566038
07/30/2001,3.97290988566038
08/06/2001,3.97290988566038
08/13/2001,3.97290988566038
08/20/2001,3.97290988566038
08/27/2001,3.97290988566038
09/03/2001,3.97290988566038
09/10/2001,3.97290988566038
09/17/2001,3.97290988566038
09/24/2001,3.97290988566038
10/01/2001,3.97290988566038
10/08/2001,3.97290988566038
10/15/2001,3.97290988566038
10/22/2001,3.97290988566038
10/29/2001,3.97290988566038
11/05/2001,3.97290988566038
11/12/2001,3.97290988566038
