,GDP: Gross National Income
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,505766057 (LAZAAABBAAABGF)
SR Code,SR201148097
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Gross National Income {368704357} [SPLICE(GDP: Gross National Income {505766057}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,17/12/2024
Series remarks,
Suggestions,
Mean,282952.44400477887
Variance,14855940743.513084
Standard Deviation,121884.94879809026
Skewness,0.9344360838705482
Kurtosis,-0.024069388919615964
Coefficient Variation,0.43076125115933517
Min,115148.6183682216
Max,595908.7692307692
Median,250893.23076923078
Sum,
Subtract,
08/01/2016,242505.769230769
08/08/2016,242505.769230769
08/15/2016,242505.769230769
08/22/2016,242505.769230769
08/29/2016,242505.769230769
09/05/2016,242505.769230769
09/12/2016,242505.769230769
09/19/2016,242505.769230769
09/26/2016,242505.769230769
10/03/2016,253042.384615385
10/10/2016,253042.384615385
10/17/2016,253042.384615385
10/24/2016,253042.384615385
10/31/2016,253042.384615385
11/07/2016,253042.384615385
11/14/2016,253042.384615385
11/21/2016,253042.384615385
11/28/2016,253042.384615385
12/05/2016,253042.384615385
12/12/2016,253042.384615385
12/19/2016,253042.384615385
12/26/2016,253042.384615385
01/02/2017,268565.230769231
01/09/2017,268565.230769231
01/16/2017,268565.230769231
01/23/2017,268565.230769231
01/30/2017,268565.230769231
02/06/2017,268565.230769231
02/13/2017,268565.230769231
02/20/2017,268565.230769231
02/27/2017,268565.230769231
03/06/2017,268565.230769231
03/13/2017,268565.230769231
03/20/2017,268565.230769231
03/27/2017,268565.230769231
04/03/2017,250893.230769231
04/10/2017,250893.230769231
04/17/2017,250893.230769231
04/24/2017,250893.230769231
05/01/2017,250893.230769231
05/08/2017,250893.230769231
05/15/2017,250893.230769231
05/22/2017,250893.230769231
05/29/2017,250893.230769231
06/05/2017,250893.230769231
06/12/2017,250893.230769231
06/19/2017,250893.230769231
06/26/2017,250893.230769231
07/03/2017,277844.769230769
07/10/2017,277844.769230769
07/17/2017,277844.769230769
07/24/2017,277844.769230769
07/31/2017,277844.769230769
08/07/2017,277844.769230769
08/14/2017,277844.769230769
08/21/2017,277844.769230769
08/28/2017,277844.769230769
09/04/2017,277844.769230769
09/11/2017,277844.769230769
