,Government Debt
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Central Bank of Sri Lanka
Status,Active
Series ID,375564947 (LFSDACIAAAAABA)
SR Code,SR97857427
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,1165085.9766679662
Variance,312538631119.7575
Standard Deviation,559051.546031095
Skewness,0.775298416438752
Kurtosis,-0.90970761776682
Coefficient Variation,0.47983715985487063
Min,552427.4936776669
Max,2207380.6582953846
Median,973577.3092613154
Sum,
Subtract,
05/22/2023,2070478.96414584
05/29/2023,2070478.96414584
06/05/2023,2070478.96414584
06/12/2023,2070478.96414584
06/19/2023,2070478.96414584
06/26/2023,2070478.96414584
07/03/2023,2155385.38093171
07/10/2023,2155385.38093171
07/17/2023,2155385.38093171
07/24/2023,2155385.38093171
07/31/2023,2155385.38093171
08/07/2023,2155385.38093171
08/14/2023,2155385.38093171
08/21/2023,2155385.38093171
08/28/2023,2155385.38093171
09/04/2023,2155385.38093171
09/11/2023,2155385.38093171
09/18/2023,2155385.38093171
09/25/2023,2155385.38093171
10/02/2023,2207380.65829538
10/09/2023,2207380.65829538
10/16/2023,2207380.65829538
10/23/2023,2207380.65829538
10/30/2023,2207380.65829538
11/06/2023,2207380.65829538
11/13/2023,2207380.65829538
11/20/2023,2207380.65829538
11/27/2023,2207380.65829538
12/04/2023,2207380.65829538
12/11/2023,2207380.65829538
12/18/2023,2207380.65829538
12/25/2023,2207380.65829538
01/01/2024,2146295.18833718
01/08/2024,2146295.18833718
01/15/2024,2146295.18833718
01/22/2024,2146295.18833718
01/29/2024,2146295.18833718
02/05/2024,2146295.18833718
02/12/2024,2146295.18833718
02/19/2024,2146295.18833718
02/26/2024,2146295.18833718
03/04/2024,2146295.18833718
03/11/2024,2146295.18833718
03/18/2024,2146295.18833718
03/25/2024,2146295.18833718
04/01/2024,2180354.10427225
04/08/2024,2180354.10427225
04/15/2024,2180354.10427225
04/22/2024,2180354.10427225
04/29/2024,2180354.10427225
05/06/2024,2180354.10427225
05/13/2024,2180354.10427225
05/20/2024,2180354.10427225
05/27/2024,2180354.10427225
06/03/2024,2180354.10427225
06/10/2024,2180354.10427225
06/17/2024,2180354.10427225
06/24/2024,2180354.10427225
07/01/2024,2041046.65606119
07/08/2024,2041046.65606119
07/15/2024,2041046.65606119
07/22/2024,2041046.65606119
07/29/2024,2041046.65606119
08/05/2024,2041046.65606119
08/12/2024,2041046.65606119
08/19/2024,2041046.65606119
08/26/2024,2041046.65606119
09/02/2024,2041046.65606119
09/09/2024,2041046.65606119
09/16/2024,2041046.65606119
09/23/2024,2041046.65606119
09/30/2024,2041046.65606119
