,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,0.35267447252536643
Variance,0.011796838434473598
Standard Deviation,0.1086132516522436
Skewness,0.19799187562005047
Kurtosis,-0.9552484848792444
Coefficient Variation,0.30797026752320866
Min,0.17025316442307695
Max,0.5684920626923077
Median,0.23640550500000002
Sum,
Subtract,
08/18/1997,0.36081981769231
08/25/1997,0.36081981769231
09/01/1997,0.36081981769231
09/08/1997,0.36081981769231
09/15/1997,0.36081981769231
09/22/1997,0.36081981769231
09/29/1997,0.36081981769231
10/06/1997,0.36081981769231
10/13/1997,0.36081981769231
10/20/1997,0.36081981769231
10/27/1997,0.36081981769231
11/03/1997,0.36081981769231
11/10/1997,0.36081981769231
11/17/1997,0.36081981769231
11/24/1997,0.36081981769231
12/01/1997,0.36081981769231
12/08/1997,0.36081981769231
12/15/1997,0.36081981769231
12/22/1997,0.36081981769231
12/29/1997,0.36081981769231
01/05/1998,0.36739528038461
01/12/1998,0.36739528038461
01/19/1998,0.36739528038461
01/26/1998,0.36739528038461
02/02/1998,0.36739528038461
02/09/1998,0.36739528038461
02/16/1998,0.36739528038461
02/23/1998,0.36739528038461
03/02/1998,0.36739528038461
03/09/1998,0.36739528038461
03/16/1998,0.36739528038461
03/23/1998,0.36739528038461
03/30/1998,0.36739528038461
04/06/1998,0.36739528038461
04/13/1998,0.36739528038461
04/20/1998,0.36739528038461
04/27/1998,0.36739528038461
05/04/1998,0.36739528038461
05/11/1998,0.36739528038461
05/18/1998,0.36739528038461
05/25/1998,0.36739528038461
06/01/1998,0.36739528038461
06/08/1998,0.36739528038461
06/15/1998,0.36739528038461
06/22/1998,0.36739528038461
06/29/1998,0.36739528038461
07/06/1998,0.36739528038461
07/13/1998,0.36739528038461
07/20/1998,0.36739528038461
07/27/1998,0.36739528038461
08/03/1998,0.36739528038461
08/10/1998,0.36739528038461
08/17/1998,0.36739528038461
08/24/1998,0.36739528038461
08/31/1998,0.36739528038461
09/07/1998,0.36739528038461
09/14/1998,0.36739528038461
09/21/1998,0.36739528038461
09/28/1998,0.36739528038461
10/05/1998,0.36739528038461
10/12/1998,0.36739528038461
10/19/1998,0.36739528038461
10/26/1998,0.36739528038461
11/02/1998,0.36739528038461
11/09/1998,0.36739528038461
11/16/1998,0.36739528038461
11/23/1998,0.36739528038461
11/30/1998,0.36739528038461
12/07/1998,0.36739528038461
12/14/1998,0.36739528038461
12/21/1998,0.36739528038461
12/28/1998,0.36739528038461
01/04/1999,0.32107651903846
01/11/1999,0.32107651903846
01/18/1999,0.32107651903846
01/25/1999,0.32107651903846
02/01/1999,0.32107651903846
02/08/1999,0.32107651903846
02/15/1999,0.32107651903846
02/22/1999,0.32107651903846
03/01/1999,0.32107651903846
03/08/1999,0.32107651903846
03/15/1999,0.32107651903846
03/22/1999,0.32107651903846
03/29/1999,0.32107651903846
04/05/1999,0.32107651903846
04/12/1999,0.32107651903846
04/19/1999,0.32107651903846
04/26/1999,0.32107651903846
05/03/1999,0.32107651903846
05/10/1999,0.32107651903846
05/17/1999,0.32107651903846
05/24/1999,0.32107651903846
05/31/1999,0.32107651903846
06/07/1999,0.32107651903846
06/14/1999,0.32107651903846
06/21/1999,0.32107651903846
06/28/1999,0.32107651903846
07/05/1999,0.32107651903846
07/12/1999,0.32107651903846
07/19/1999,0.32107651903846
07/26/1999,0.32107651903846
08/02/1999,0.32107651903846
08/09/1999,0.32107651903846
08/16/1999,0.32107651903846
08/23/1999,0.32107651903846
08/30/1999,0.32107651903846
09/06/1999,0.32107651903846
09/13/1999,0.32107651903846
09/20/1999,0.32107651903846
09/27/1999,0.32107651903846
10/04/1999,0.32107651903846
10/11/1999,0.32107651903846
10/18/1999,0.32107651903846
10/25/1999,0.32107651903846
11/01/1999,0.32107651903846
11/08/1999,0.32107651903846
11/15/1999,0.32107651903846
11/22/1999,0.32107651903846
11/29/1999,0.32107651903846
12/06/1999,0.32107651903846
12/13/1999,0.32107651903846
12/20/1999,0.32107651903846
12/27/1999,0.32107651903846
01/03/2000,0.25273122634615
01/10/2000,0.25273122634615
01/17/2000,0.25273122634615
01/24/2000,0.25273122634615
01/31/2000,0.25273122634615
02/07/2000,0.25273122634615
02/14/2000,0.25273122634615
02/21/2000,0.25273122634615
02/28/2000,0.25273122634615
03/06/2000,0.25273122634615
03/13/2000,0.25273122634615
03/20/2000,0.25273122634615
03/27/2000,0.25273122634615
04/03/2000,0.25273122634615
04/10/2000,0.25273122634615
04/17/2000,0.25273122634615
04/24/2000,0.25273122634615
05/01/2000,0.25273122634615
05/08/2000,0.25273122634615
05/15/2000,0.25273122634615
05/22/2000,0.25273122634615
05/29/2000,0.25273122634615
06/05/2000,0.25273122634615
06/12/2000,0.25273122634615
06/19/2000,0.25273122634615
06/26/2000,0.25273122634615
07/03/2000,0.25273122634615
07/10/2000,0.25273122634615
07/17/2000,0.25273122634615
07/24/2000,0.25273122634615
07/31/2000,0.25273122634615
08/07/2000,0.25273122634615
08/14/2000,0.25273122634615
08/21/2000,0.25273122634615
08/28/2000,0.25273122634615
09/04/2000,0.25273122634615
09/11/2000,0.25273122634615
09/18/2000,0.25273122634615
09/25/2000,0.25273122634615
10/02/2000,0.25273122634615
10/09/2000,0.25273122634615
10/16/2000,0.25273122634615
10/23/2000,0.25273122634615
10/30/2000,0.25273122634615
11/06/2000,0.25273122634615
11/13/2000,0.25273122634615
11/20/2000,0.25273122634615
11/27/2000,0.25273122634615
12/04/2000,0.25273122634615
12/11/2000,0.25273122634615
12/18/2000,0.25273122634615
12/25/2000,0.25273122634615
01/01/2001,0.23975506773585
01/08/2001,0.23975506773585
01/15/2001,0.23975506773585
01/22/2001,0.23975506773585
01/29/2001,0.23975506773585
02/05/2001,0.23975506773585
02/12/2001,0.23975506773585
02/19/2001,0.23975506773585
02/26/2001,0.23975506773585
03/05/2001,0.23975506773585
03/12/2001,0.23975506773585
03/19/2001,0.23975506773585
03/26/2001,0.23975506773585
04/02/2001,0.23975506773585
04/09/2001,0.23975506773585
04/16/2001,0.23975506773585
04/23/2001,0.23975506773585
04/30/2001,0.23975506773585
05/07/2001,0.23975506773585
05/14/2001,0.23975506773585
05/21/2001,0.23975506773585
05/28/2001,0.23975506773585
06/04/2001,0.23975506773585
06/11/2001,0.23975506773585
06/18/2001,0.23975506773585
06/25/2001,0.23975506773585
07/02/2001,0.23975506773585
07/09/2001,0.23975506773585
07/16/2001,0.23975506773585
07/23/2001,0.23975506773585
07/30/2001,0.23975506773585
08/06/2001,0.23975506773585
08/13/2001,0.23975506773585
08/20/2001,0.23975506773585
08/27/2001,0.23975506773585
09/03/2001,0.23975506773585
09/10/2001,0.23975506773585
09/17/2001,0.23975506773585
09/24/2001,0.23975506773585
10/01/2001,0.23975506773585
10/08/2001,0.23975506773585
10/15/2001,0.23975506773585
10/22/2001,0.23975506773585
10/29/2001,0.23975506773585
11/05/2001,0.23975506773585
11/12/2001,0.23975506773585
11/19/2001,0.23975506773585
11/26/2001,0.23975506773585
12/03/2001,0.23975506773585
12/10/2001,0.23975506773585
12/17/2001,0.23975506773585
12/24/2001,0.23975506773585
12/31/2001,0.23975506773585
01/07/2002,0.24544623403846
01/14/2002,0.24544623403846
01/21/2002,0.24544623403846
01/28/2002,0.24544623403846
02/04/2002,0.24544623403846
02/11/2002,0.24544623403846
02/18/2002,0.24544623403846
02/25/2002,0.24544623403846
03/04/2002,0.24544623403846
