,Number of Vessels Arrivals: Port of Colombo
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,Central Bank of Sri Lanka
Status,Active
Series ID,31012201 (LTFAA)
SR Code,SR543627
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,12/07/1998
Last Obs. Date,11/25/2024
Last Update Time,30/12/2024
Series remarks,
Suggestions,
Mean,83.35103244837761
Variance,138.34472956056982
Standard Deviation,11.762003637160202
Skewness,0.14871153311344112
Kurtosis,-0.8056000246702539
Coefficient Variation,0.1411140725154766
Min,60.8
Max,110.25
Median,84.25
Sum,
Subtract,
06/01/2015,78
06/08/2015,78
06/15/2015,78
06/22/2015,78
06/29/2015,78
07/06/2015,100.75
07/13/2015,100.75
07/20/2015,100.75
07/27/2015,100.75
08/03/2015,83
08/10/2015,83
08/17/2015,83
08/24/2015,83
08/31/2015,83
09/07/2015,98.75
09/14/2015,98.75
09/21/2015,98.75
09/28/2015,98.75
10/05/2015,102.75
10/12/2015,102.75
10/19/2015,102.75
10/26/2015,102.75
11/02/2015,79.2
11/09/2015,79.2
11/16/2015,79.2
11/23/2015,79.2
11/30/2015,79.2
12/07/2015,98.25
12/14/2015,98.25
12/21/2015,98.25
12/28/2015,98.25
01/04/2016,106.75
01/11/2016,106.75
01/18/2016,106.75
01/25/2016,106.75
02/01/2016,80.6
02/08/2016,80.6
02/15/2016,80.6
02/22/2016,80.6
02/29/2016,80.6
03/07/2016,107
03/14/2016,107
03/21/2016,107
03/28/2016,107
04/04/2016,100.25
04/11/2016,100.25
04/18/2016,100.25
04/25/2016,100.25
05/02/2016,82
05/09/2016,82
05/16/2016,82
05/23/2016,82
05/30/2016,82
06/06/2016,102.25
06/13/2016,102.25
06/20/2016,102.25
06/27/2016,102.25
07/04/2016,110.25
07/11/2016,110.25
07/18/2016,110.25
07/25/2016,110.25
08/01/2016,87.6
08/08/2016,87.6
08/15/2016,87.6
08/22/2016,87.6
08/29/2016,87.6
09/05/2016,103.25
09/12/2016,103.25
09/19/2016,103.25
09/26/2016,103.25
10/03/2016,80.8
10/10/2016,80.8
10/17/2016,80.8
10/24/2016,80.8
10/31/2016,80.8
11/07/2016,100.75
11/14/2016,100.75
11/21/2016,100.75
11/28/2016,100.75
12/05/2016,105.5
12/12/2016,105.5
12/19/2016,105.5
12/26/2016,105.5
01/02/2017,81.2
01/09/2017,81.2
01/16/2017,81.2
01/23/2017,81.2
01/30/2017,81.2
02/06/2017,90.75
02/13/2017,90.75
02/20/2017,90.75
02/27/2017,90.75
03/06/2017,107.5
03/13/2017,107.5
03/20/2017,107.5
03/27/2017,107.5
04/03/2017,99.75
04/10/2017,99.75
04/17/2017,99.75
04/24/2017,99.75
05/01/2017,82
05/08/2017,82
05/15/2017,82
05/22/2017,82
05/29/2017,82
06/05/2017,100
06/12/2017,100
06/19/2017,100
06/26/2017,100
07/03/2017,82.6
07/10/2017,82.6
07/17/2017,82.6
07/24/2017,82.6
07/31/2017,82.6
08/07/2017,107
08/14/2017,107
08/21/2017,107
08/28/2017,107
09/04/2017,99.5
09/11/2017,99.5
09/18/2017,99.5
09/25/2017,99.5
10/02/2017,80
10/09/2017,80
10/16/2017,80
10/23/2017,80
10/30/2017,80
11/06/2017,100.5
11/13/2017,100.5
11/20/2017,100.5
11/27/2017,100.5
12/04/2017,107.5
12/11/2017,107.5
12/18/2017,107.5
12/25/2017,107.5
01/01/2018,87.2
01/08/2018,87.2
01/15/2018,87.2
01/22/2018,87.2
01/29/2018,87.2
02/05/2018,100.5
02/12/2018,100.5
02/19/2018,100.5
02/26/2018,100.5
03/05/2018,107.25
03/12/2018,107.25
03/19/2018,107.25
03/26/2018,107.25
04/02/2018,81
04/09/2018,81
04/16/2018,81
04/23/2018,81
04/30/2018,81
05/07/2018,98
05/14/2018,98
05/21/2018,98
05/28/2018,98
06/04/2018,105.25
06/11/2018,105.25
06/18/2018,105.25
06/25/2018,105.25
07/02/2018,84.4
07/09/2018,84.4
07/16/2018,84.4
07/23/2018,84.4
07/30/2018,84.4
08/06/2018,105.75
08/13/2018,105.75
08/20/2018,105.75
08/27/2018,105.75
09/03/2018,96.5
09/10/2018,96.5
09/17/2018,96.5
09/24/2018,96.5
10/01/2018,80.2
10/08/2018,80.2
10/15/2018,80.2
10/22/2018,80.2
10/29/2018,80.2
11/05/2018,92.25
11/12/2018,92.25
11/19/2018,92.25
11/26/2018,92.25
12/03/2018,77.4
12/10/2018,77.4
12/17/2018,77.4
12/24/2018,77.4
12/31/2018,77.4
01/07/2019,101.25
01/14/2019,101.25
01/21/2019,101.25
01/28/2019,101.25
02/04/2019,93.25
02/11/2019,93.25
02/18/2019,93.25
02/25/2019,93.25
03/04/2019,102
03/11/2019,102
03/18/2019,102
03/25/2019,102
04/01/2019,75.4
04/08/2019,75.4
04/15/2019,75.4
04/22/2019,75.4
04/29/2019,75.4
05/06/2019,98.5
05/13/2019,98.5
05/20/2019,98.5
05/27/2019,98.5
06/03/2019,94.75
06/10/2019,94.75
06/17/2019,94.75
06/24/2019,94.75
07/01/2019,78.8
07/08/2019,78.8
07/15/2019,78.8
07/22/2019,78.8
07/29/2019,78.8
08/05/2019,100
08/12/2019,100
08/19/2019,100
08/26/2019,100
09/02/2019,77
09/09/2019,77
09/16/2019,77
09/23/2019,77
09/30/2019,77
10/07/2019,97.5
10/14/2019,97.5
10/21/2019,97.5
10/28/2019,97.5
11/04/2019,99.75
11/11/2019,99.75
11/18/2019,99.75
11/25/2019,99.75
12/02/2019,81
12/09/2019,81
12/16/2019,81
12/23/2019,81
12/30/2019,81
01/06/2020,104
01/13/2020,104
01/20/2020,104
01/27/2020,104
02/03/2020,100.25
02/10/2020,100.25
02/17/2020,100.25
02/24/2020,100.25
03/02/2020,77.2
03/09/2020,77.2
03/16/2020,77.2
03/23/2020,77.2
03/30/2020,77.2
04/06/2020,79.25
04/13/2020,79.25
04/20/2020,79.25
04/27/2020,79.25
05/04/2020,81.25
05/11/2020,81.25
05/18/2020,81.25
05/25/2020,81.25
06/01/2020,65.4
06/08/2020,65.4
06/15/2020,65.4
06/22/2020,65.4
06/29/2020,65.4
07/06/2020,97.75
07/13/2020,97.75
07/20/2020,97.75
07/27/2020,97.75
08/03/2020,72.4
08/10/2020,72.4
08/17/2020,72.4
08/24/2020,72.4
08/31/2020,72.4
09/07/2020,99
09/14/2020,99
09/21/2020,99
09/28/2020,99
10/05/2020,93.25
10/12/2020,93.25
10/19/2020,93.25
10/26/2020,93.25
11/02/2020,61.2
11/09/2020,61.2
11/16/2020,61.2
11/23/2020,61.2
11/30/2020,61.2
12/07/2020,84.25
12/14/2020,84.25
12/21/2020,84.25
12/28/2020,84.25
01/04/2021,91
01/11/2021,91
01/18/2021,91
01/25/2021,91
02/01/2021,82.75
02/08/2021,82.75
02/15/2021,82.75
02/22/2021,82.75
03/01/2021,75
