,GDP: FCE: Households
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495105947 (LAZAAABBAAABCG)
SR Code,SR173549697
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: FCE: Households {375579907} [SPLICE(GDP: FCE: Households {495105947}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,185772.4610423654
Variance,7977347929.944695
Standard Deviation,89316.00041394988
Skewness,1.1986322640932057
Kurtosis,0.400815673896608
Coefficient Variation,0.4807817042030862
Min,81078.58747649682
Max,404535.3781118908
Median,157350.83264298152
Sum,
Subtract,
12/16/2013,129619.982869649
12/23/2013,129619.982869649
12/30/2013,129619.982869649
01/06/2014,128103.682258542
01/13/2014,128103.682258542
01/20/2014,128103.682258542
01/27/2014,128103.682258542
02/03/2014,128103.682258542
02/10/2014,128103.682258542
02/17/2014,128103.682258542
02/24/2014,128103.682258542
03/03/2014,128103.682258542
03/10/2014,128103.682258542
03/17/2014,128103.682258542
03/24/2014,128103.682258542
03/31/2014,128103.682258542
04/07/2014,123187.167434803
04/14/2014,123187.167434803
04/21/2014,123187.167434803
04/28/2014,123187.167434803
05/05/2014,123187.167434803
05/12/2014,123187.167434803
05/19/2014,123187.167434803
05/26/2014,123187.167434803
06/02/2014,123187.167434803
06/09/2014,123187.167434803
06/16/2014,123187.167434803
06/23/2014,123187.167434803
06/30/2014,123187.167434803
07/07/2014,143094.10976029
07/14/2014,143094.10976029
07/21/2014,143094.10976029
07/28/2014,143094.10976029
08/04/2014,143094.10976029
08/11/2014,143094.10976029
08/18/2014,143094.10976029
08/25/2014,143094.10976029
09/01/2014,143094.10976029
09/08/2014,143094.10976029
09/15/2014,143094.10976029
09/22/2014,143094.10976029
09/29/2014,143094.10976029
10/06/2014,141671.952150071
10/13/2014,141671.952150071
10/20/2014,141671.952150071
10/27/2014,141671.952150071
11/03/2014,141671.952150071
11/10/2014,141671.952150071
11/17/2014,141671.952150071
11/24/2014,141671.952150071
12/01/2014,141671.952150071
12/08/2014,141671.952150071
12/15/2014,141671.952150071
12/22/2014,141671.952150071
12/29/2014,141671.952150071
01/05/2015,141646.494149108
01/12/2015,141646.494149108
01/19/2015,141646.494149108
01/26/2015,141646.494149108
02/02/2015,141646.494149108
02/09/2015,141646.494149108
02/16/2015,141646.494149108
02/23/2015,141646.494149108
03/02/2015,141646.494149108
03/09/2015,141646.494149108
03/16/2015,141646.494149108
03/23/2015,141646.494149108
03/30/2015,141646.494149108
04/06/2015,140238.685528877
04/13/2015,140238.685528877
04/20/2015,140238.685528877
04/27/2015,140238.685528877
05/04/2015,140238.685528877
05/11/2015,140238.685528877
05/18/2015,140238.685528877
05/25/2015,140238.685528877
06/01/2015,140238.685528877
06/08/2015,140238.685528877
06/15/2015,140238.685528877
06/22/2015,140238.685528877
06/29/2015,140238.685528877
07/06/2015,148031.160727431
07/13/2015,148031.160727431
07/20/2015,148031.160727431
07/27/2015,148031.160727431
08/03/2015,148031.160727431
08/10/2015,148031.160727431
08/17/2015,148031.160727431
08/24/2015,148031.160727431
08/31/2015,148031.160727431
09/07/2015,148031.160727431
09/14/2015,148031.160727431
09/21/2015,148031.160727431
09/28/2015,148031.160727431
10/05/2015,139043.733174577
10/12/2015,139043.733174577
10/19/2015,139043.733174577
10/26/2015,139043.733174577
11/02/2015,139043.733174577
11/09/2015,139043.733174577
11/16/2015,139043.733174577
11/23/2015,139043.733174577
11/30/2015,139043.733174577
12/07/2015,139043.733174577
12/14/2015,139043.733174577
12/21/2015,139043.733174577
12/28/2015,139043.733174577
01/04/2016,155793.335156495
01/11/2016,155793.335156495
01/18/2016,155793.335156495
01/25/2016,155793.335156495
02/01/2016,155793.335156495
02/08/2016,155793.335156495
02/15/2016,155793.335156495
02/22/2016,155793.335156495
02/29/2016,155793.335156495
03/07/2016,155793.335156495
03/14/2016,155793.335156495
03/21/2016,155793.335156495
03/28/2016,155793.335156495
04/04/2016,152378.718728295
04/11/2016,152378.718728295
04/18/2016,152378.718728295
04/25/2016,152378.718728295
05/02/2016,152378.718728295
05/09/2016,152378.718728295
05/16/2016,152378.718728295
05/23/2016,152378.718728295
05/30/2016,152378.718728295
06/06/2016,152378.718728295
06/13/2016,152378.718728295
06/20/2016,152378.718728295
06/27/2016,152378.718728295
07/04/2016,156329.658122102
07/11/2016,156329.658122102
