,Refined Products: Demand: Local Sales: Auto Diesel: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,30772901 (LBKFB)
SR Code,SR854639
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/05/1987
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,27.93827209797656
Variance,113.19580828107763
Standard Deviation,10.639351873167728
Skewness,-0.6610701700814028
Kurtosis,-1.0174332292093504
Coefficient Variation,0.38081638820957314
Min,9.299057692307692
Max,42.19230769230769
Median,36.34615384615385
Sum,
Subtract,
07/11/1994,13.9989038461538
07/18/1994,13.9989038461538
07/25/1994,13.9989038461538
08/01/1994,13.9989038461538
08/08/1994,13.9989038461538
08/15/1994,13.9989038461538
08/22/1994,13.9989038461538
08/29/1994,13.9989038461538
09/05/1994,13.9989038461538
09/12/1994,13.9989038461538
09/19/1994,13.9989038461538
09/26/1994,13.9989038461538
10/03/1994,13.9989038461538
10/10/1994,13.9989038461538
10/17/1994,13.9989038461538
10/24/1994,13.9989038461538
10/31/1994,13.9989038461538
11/07/1994,13.9989038461538
11/14/1994,13.9989038461538
11/21/1994,13.9989038461538
11/28/1994,13.9989038461538
12/05/1994,13.9989038461538
12/12/1994,13.9989038461538
12/19/1994,13.9989038461538
12/26/1994,13.9989038461538
01/02/1995,15.2093653846154
01/09/1995,15.2093653846154
01/16/1995,15.2093653846154
01/23/1995,15.2093653846154
01/30/1995,15.2093653846154
02/06/1995,15.2093653846154
02/13/1995,15.2093653846154
02/20/1995,15.2093653846154
02/27/1995,15.2093653846154
03/06/1995,15.2093653846154
03/13/1995,15.2093653846154
03/20/1995,15.2093653846154
03/27/1995,15.2093653846154
04/03/1995,15.2093653846154
04/10/1995,15.2093653846154
04/17/1995,15.2093653846154
04/24/1995,15.2093653846154
05/01/1995,15.2093653846154
05/08/1995,15.2093653846154
05/15/1995,15.2093653846154
05/22/1995,15.2093653846154
05/29/1995,15.2093653846154
06/05/1995,15.2093653846154
06/12/1995,15.2093653846154
06/19/1995,15.2093653846154
06/26/1995,15.2093653846154
07/03/1995,15.2093653846154
07/10/1995,15.2093653846154
07/17/1995,15.2093653846154
07/24/1995,15.2093653846154
07/31/1995,15.2093653846154
08/07/1995,15.2093653846154
08/14/1995,15.2093653846154
08/21/1995,15.2093653846154
08/28/1995,15.2093653846154
09/04/1995,15.2093653846154
09/11/1995,15.2093653846154
09/18/1995,15.2093653846154
09/25/1995,15.2093653846154
10/02/1995,15.2093653846154
10/09/1995,15.2093653846154
10/16/1995,15.2093653846154
10/23/1995,15.2093653846154
10/30/1995,15.2093653846154
11/06/1995,15.2093653846154
11/13/1995,15.2093653846154
11/20/1995,15.2093653846154
11/27/1995,15.2093653846154
12/04/1995,15.2093653846154
12/11/1995,15.2093653846154
12/18/1995,15.2093653846154
12/25/1995,15.2093653846154
01/01/1996,19.7735849056604
01/08/1996,19.7735849056604
01/15/1996,19.7735849056604
01/22/1996,19.7735849056604
01/29/1996,19.7735849056604
02/05/1996,19.7735849056604
02/12/1996,19.7735849056604
02/19/1996,19.7735849056604
02/26/1996,19.7735849056604
03/04/1996,19.7735849056604
03/11/1996,19.7735849056604
03/18/1996,19.7735849056604
03/25/1996,19.7735849056604
04/01/1996,19.7735849056604
04/08/1996,19.7735849056604
04/15/1996,19.7735849056604
04/22/1996,19.7735849056604
04/29/1996,19.7735849056604
05/06/1996,19.7735849056604
05/13/1996,19.7735849056604
05/20/1996,19.7735849056604
05/27/1996,19.7735849056604
06/03/1996,19.7735849056604
06/10/1996,19.7735849056604
06/17/1996,19.7735849056604
06/24/1996,19.7735849056604
07/01/1996,19.7735849056604
07/08/1996,19.7735849056604
07/15/1996,19.7735849056604
07/22/1996,19.7735849056604
07/29/1996,19.7735849056604
08/05/1996,19.7735849056604
08/12/1996,19.7735849056604
08/19/1996,19.7735849056604
08/26/1996,19.7735849056604
09/02/1996,19.7735849056604
09/09/1996,19.7735849056604
09/16/1996,19.7735849056604
09/23/1996,19.7735849056604
09/30/1996,19.7735849056604
10/07/1996,19.7735849056604
10/14/1996,19.7735849056604
10/21/1996,19.7735849056604
10/28/1996,19.7735849056604
11/04/1996,19.7735849056604
11/11/1996,19.7735849056604
11/18/1996,19.7735849056604
11/25/1996,19.7735849056604
12/02/1996,19.7735849056604
12/09/1996,19.7735849056604
12/16/1996,19.7735849056604
12/23/1996,19.7735849056604
12/30/1996,19.7735849056604
01/06/1997,24.9038461538462
01/13/1997,24.9038461538462
