,Revenue: Tax: Taxes on International Trade: Taxes on Exports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,263949202
SR Code,SR5467655
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on exports are all levies on goods being transported out of the country or services being delivered to nonresidents by residents. Rebates on exported goods that are repayments of previously paid general consumption taxes, excise taxes, or import duties are deducted from the gross amounts receivable from these taxes, not from amounts receivable from export taxes.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,26.903013733198144
Variance,473.0682134136335
Standard Deviation,21.750131342445577
Skewness,-0.17848429673269647
Kurtosis,-1.7031315364199384
Coefficient Variation,0.8084644924224997
Min,0.07692307692307693
Max,57.31041625423077
Median,0.46153846153846156
Sum,
Subtract,
08/01/2016,51.3848293923077
08/08/2016,51.3848293923077
08/15/2016,51.3848293923077
08/22/2016,51.3848293923077
08/29/2016,51.3848293923077
09/05/2016,51.3848293923077
09/12/2016,51.3848293923077
09/19/2016,51.3848293923077
09/26/2016,51.3848293923077
10/03/2016,51.3848293923077
10/10/2016,51.3848293923077
10/17/2016,51.3848293923077
10/24/2016,51.3848293923077
10/31/2016,51.3848293923077
11/07/2016,51.3848293923077
11/14/2016,51.3848293923077
11/21/2016,51.3848293923077
11/28/2016,51.3848293923077
12/05/2016,51.3848293923077
12/12/2016,51.3848293923077
12/19/2016,51.3848293923077
12/26/2016,51.3848293923077
01/02/2017,57.3104162542308
01/09/2017,57.3104162542308
01/16/2017,57.3104162542308
01/23/2017,57.3104162542308
01/30/2017,57.3104162542308
02/06/2017,57.3104162542308
02/13/2017,57.3104162542308
02/20/2017,57.3104162542308
02/27/2017,57.3104162542308
03/06/2017,57.3104162542308
03/13/2017,57.3104162542308
03/20/2017,57.3104162542308
03/27/2017,57.3104162542308
04/03/2017,57.3104162542308
04/10/2017,57.3104162542308
04/17/2017,57.3104162542308
04/24/2017,57.3104162542308
05/01/2017,57.3104162542308
05/08/2017,57.3104162542308
05/15/2017,57.3104162542308
05/22/2017,57.3104162542308
05/29/2017,57.3104162542308
06/05/2017,57.3104162542308
06/12/2017,57.3104162542308
06/19/2017,57.3104162542308
06/26/2017,57.3104162542308
07/03/2017,57.3104162542308
07/10/2017,57.3104162542308
07/17/2017,57.3104162542308
07/24/2017,57.3104162542308
07/31/2017,57.3104162542308
08/07/2017,57.3104162542308
08/14/2017,57.3104162542308
08/21/2017,57.3104162542308
08/28/2017,57.3104162542308
09/04/2017,57.3104162542308
09/11/2017,57.3104162542308
09/18/2017,57.3104162542308
09/25/2017,57.3104162542308
10/02/2017,57.3104162542308
10/09/2017,57.3104162542308
10/16/2017,57.3104162542308
10/23/2017,57.3104162542308
10/30/2017,57.3104162542308
11/06/2017,57.3104162542308
11/13/2017,57.3104162542308
11/20/2017,57.3104162542308
11/27/2017,57.3104162542308
12/04/2017,57.3104162542308
12/11/2017,57.3104162542308
12/18/2017,57.3104162542308
12/25/2017,57.3104162542308
01/01/2018,48.900271414717
01/08/2018,48.900271414717
01/15/2018,48.900271414717
01/22/2018,48.900271414717
01/29/2018,48.900271414717
02/05/2018,48.900271414717
02/12/2018,48.900271414717
02/19/2018,48.900271414717
02/26/2018,48.900271414717
03/05/2018,48.900271414717
03/12/2018,48.900271414717
03/19/2018,48.900271414717
03/26/2018,48.900271414717
04/02/2018,48.900271414717
04/09/2018,48.900271414717
04/16/2018,48.900271414717
04/23/2018,48.900271414717
04/30/2018,48.900271414717
05/07/2018,48.900271414717
05/14/2018,48.900271414717
05/21/2018,48.900271414717
05/28/2018,48.900271414717
06/04/2018,48.900271414717
06/11/2018,48.900271414717
06/18/2018,48.900271414717
06/25/2018,48.900271414717
07/02/2018,48.900271414717
07/09/2018,48.900271414717
07/16/2018,48.900271414717
07/23/2018,48.900271414717
07/30/2018,48.900271414717
08/06/2018,48.900271414717
08/13/2018,48.900271414717
08/20/2018,48.900271414717
08/27/2018,48.900271414717
09/03/2018,48.900271414717
09/10/2018,48.900271414717
09/17/2018,48.900271414717
09/24/2018,48.900271414717
10/01/2018,48.900271414717
10/08/2018,48.900271414717
10/15/2018,48.900271414717
10/22/2018,48.900271414717
10/29/2018,48.900271414717
11/05/2018,48.900271414717
11/12/2018,48.900271414717
11/19/2018,48.900271414717
11/26/2018,48.900271414717
12/03/2018,48.900271414717
12/10/2018,48.900271414717
12/17/2018,48.900271414717
12/24/2018,48.900271414717
12/31/2018,48.900271414717
01/07/2019,44.2247763636538
01/14/2019,44.2247763636538
01/21/2019,44.2247763636538
01/28/2019,44.2247763636538
02/04/2019,44.2247763636538
02/11/2019,44.2247763636538
02/18/2019,44.2247763636538
02/25/2019,44.2247763636538
03/04/2019,44.2247763636538
03/11/2019,44.2247763636538
03/18/2019,44.2247763636538
03/25/2019,44.2247763636538
04/01/2019,44.2247763636538
04/08/2019,44.2247763636538
04/15/2019,44.2247763636538
04/22/2019,44.2247763636538
04/29/2019,44.2247763636538
05/06/2019,44.2247763636538
05/13/2019,44.2247763636538
05/20/2019,44.2247763636538
05/27/2019,44.2247763636538
06/03/2019,44.2247763636538
06/10/2019,44.2247763636538
06/17/2019,44.2247763636538
06/24/2019,44.2247763636538
07/01/2019,44.2247763636538
07/08/2019,44.2247763636538
07/15/2019,44.2247763636538
07/22/2019,44.2247763636538
07/29/2019,44.2247763636538
08/05/2019,44.2247763636538
08/12/2019,44.2247763636538
08/19/2019,44.2247763636538
08/26/2019,44.2247763636538
09/02/2019,44.2247763636538
09/09/2019,44.2247763636538
09/16/2019,44.2247763636538
09/23/2019,44.2247763636538
09/30/2019,44.2247763636538
10/07/2019,44.2247763636538
10/14/2019,44.2247763636538
10/21/2019,44.2247763636538
10/28/2019,44.2247763636538
11/04/2019,44.2247763636538
11/11/2019,44.2247763636538
11/18/2019,44.2247763636538
11/25/2019,44.2247763636538
12/02/2019,44.2247763636538
12/09/2019,44.2247763636538
12/16/2019,44.2247763636538
12/23/2019,44.2247763636538
12/30/2019,44.2247763636538
01/06/2020,38.7302733846154
01/13/2020,38.7302733846154
01/20/2020,38.7302733846154
01/27/2020,38.7302733846154
02/03/2020,38.7302733846154
02/10/2020,38.7302733846154
02/17/2020,38.7302733846154
02/24/2020,38.7302733846154
03/02/2020,38.7302733846154
03/09/2020,38.7302733846154
03/16/2020,38.7302733846154
03/23/2020,38.7302733846154
03/30/2020,38.7302733846154
04/06/2020,38.7302733846154
04/13/2020,38.7302733846154
04/20/2020,38.7302733846154
04/27/2020,38.7302733846154
05/04/2020,38.7302733846154
05/11/2020,38.7302733846154
05/18/2020,38.7302733846154
05/25/2020,38.7302733846154
06/01/2020,38.7302733846154
06/08/2020,38.7302733846154
06/15/2020,38.7302733846154
06/22/2020,38.7302733846154
06/29/2020,38.7302733846154
07/06/2020,38.7302733846154
07/13/2020,38.7302733846154
07/20/2020,38.7302733846154
07/27/2020,38.7302733846154
08/03/2020,38.7302733846154
08/10/2020,38.7302733846154
08/17/2020,38.7302733846154
08/24/2020,38.7302733846154
08/31/2020,38.7302733846154
09/07/2020,38.7302733846154
09/14/2020,38.7302733846154
09/21/2020,38.7302733846154
09/28/2020,38.7302733846154
10/05/2020,38.7302733846154
10/12/2020,38.7302733846154
10/19/2020,38.7302733846154
10/26/2020,38.7302733846154
11/02/2020,38.7302733846154
11/09/2020,38.7302733846154
11/16/2020,38.7302733846154
11/23/2020,38.7302733846154
11/30/2020,38.7302733846154
12/07/2020,38.7302733846154
12/14/2020,38.7302733846154
12/21/2020,38.7302733846154
12/28/2020,38.7302733846154
01/04/2021,42.7554935
01/11/2021,42.7554935
01/18/2021,42.7554935
01/25/2021,42.7554935
02/01/2021,42.7554935
02/08/2021,42.7554935
02/15/2021,42.7554935
02/22/2021,42.7554935
03/01/2021,42.7554935
03/08/2021,42.7554935
03/15/2021,42.7554935
03/22/2021,42.7554935
03/29/2021,42.7554935
04/05/2021,42.7554935
04/12/2021,42.7554935
04/19/2021,42.7554935
04/26/2021,42.7554935
05/03/2021,42.7554935
05/10/2021,42.7554935
05/17/2021,42.7554935
05/24/2021,42.7554935
05/31/2021,42.7554935
06/07/2021,42.7554935
06/14/2021,42.7554935
06/21/2021,42.7554935
06/28/2021,42.7554935
07/05/2021,42.7554935
07/12/2021,42.7554935
07/19/2021,42.7554935
07/26/2021,42.7554935
08/02/2021,42.7554935
08/09/2021,42.7554935
08/16/2021,42.7554935
08/23/2021,42.7554935
08/30/2021,42.7554935
09/06/2021,42.7554935
09/13/2021,42.7554935
09/20/2021,42.7554935
09/27/2021,42.7554935
10/04/2021,42.7554935
10/11/2021,42.7554935
10/18/2021,42.7554935
10/25/2021,42.7554935
11/01/2021,42.7554935
11/08/2021,42.7554935
11/15/2021,42.7554935
11/22/2021,42.7554935
11/29/2021,42.7554935
12/06/2021,42.7554935
12/13/2021,42.7554935
12/20/2021,42.7554935
