,"Revenue: Tax: Taxes on Income, Profits and Capital Gains"
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,264131202
SR Code,SR5468529
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on income, profits, and capital gains are levied on the actual or presumptive net income of individuals, on the profits of corporations and enterprises, and on capital gains, whether realized or not, on land, securities, and other assets. Intragovernmental payments are eliminated in consolidation.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,2945.08658360495
Variance,12603677.869116029
Standard Deviation,3550.1658931824622
Skewness,2.2722706382919635
Kurtosis,6.186721924635577
Coefficient Variation,1.2054538270439783
Min,138.43396226415095
Max,17521.319897428653
Median,1547.7692307692307
Sum,
Subtract,
07/28/2003,757.634615384615
08/04/2003,757.634615384615
08/11/2003,757.634615384615
08/18/2003,757.634615384615
08/25/2003,757.634615384615
09/01/2003,757.634615384615
09/08/2003,757.634615384615
09/15/2003,757.634615384615
09/22/2003,757.634615384615
09/29/2003,757.634615384615
10/06/2003,757.634615384615
10/13/2003,757.634615384615
10/20/2003,757.634615384615
10/27/2003,757.634615384615
11/03/2003,757.634615384615
11/10/2003,757.634615384615
11/17/2003,757.634615384615
11/24/2003,757.634615384615
12/01/2003,757.634615384615
12/08/2003,757.634615384615
12/15/2003,757.634615384615
12/22/2003,757.634615384615
12/29/2003,757.634615384615
01/05/2004,795.615384615385
01/12/2004,795.615384615385
01/19/2004,795.615384615385
01/26/2004,795.615384615385
02/02/2004,795.615384615385
02/09/2004,795.615384615385
02/16/2004,795.615384615385
02/23/2004,795.615384615385
03/01/2004,795.615384615385
03/08/2004,795.615384615385
03/15/2004,795.615384615385
03/22/2004,795.615384615385
03/29/2004,795.615384615385
04/05/2004,795.615384615385
04/12/2004,795.615384615385
04/19/2004,795.615384615385
